"","amp","phase","peakTime","offset","pvalue","R2"
"X85",3,0,6,0,NA,NA
"X146",3,0,6,0,NA,NA
"X92",3,0,6,0,NA,NA
"X98",865.585166315395,11.4554806679399,18.5445193320601,2046.6467024942,0.0559608575643736,0.120267946409886
"X97",2798.14908009827,11.0810538640693,18.9189461359307,3606.60327083337,0.00618240400451782,0.202319056442265
"X95",3,0,6,0,NA,NA
"X187",2280.98568843813,10.0664621442113,19.9335378557887,3715.67426708667,0.00146096927579094,0.251857979661294
"X190",4511.46375678824,17.6435093066043,12.3564906933957,3222.26822857761,0.0150266408897958,0.170203420410581
"X99",3,0,6,0,NA,NA
"X148",3,0,6,0,NA,NA
"X149",909.74526302417,12.796647740347,17.203352259653,996.386347259105,0.000185452998182475,0.31743545273561
"X103",372.983069367858,14.5524192652586,15.4475807347414,913.893479854468,0.0297482505612432,0.144630340751722
"X102",1882.07378448179,15.1843053331816,14.8156946668184,3929.83046405661,0.0359236450006202,0.137429334912744
"X100",3,0,6,0,NA,NA
"X88",3116.29434893534,21.4958249394498,8.50417506055017,5700.43029023134,0.000984197457544931,0.264878354555951
"X143",386.950084345821,8.00109374988594,21.9989062501141,1071.99020833333,0.198637757547563,0.0693149304421454
"X106",1928.30402039622,8.15072327011542,21.8492767298846,3295.62481392236,0.00258656033081849,0.232621028764212
"X104",3,0,6,0,NA,NA
