"","amp","phase","peakTime","offset","pvalue","R2"
"X109",3,0,6,0,NA,NA
"X110",3,0,6,0,NA,NA
"X107",3,0,6,0,NA,NA
"X108",3,0,6,0,NA,NA
"X153",4343.8979987182,22.8823531771783,7.11764682282175,8898.12818750026,0.0142170112885348,0.172243515779513
"X154",3774.02945209587,10.4056083524416,19.5943916475584,5769.09497916666,0.000197272456523476,0.315558575056113
"X113",2763.62723289935,10.7850840616588,19.2149159383412,3274.11410646528,1.83186330940377e-08,0.546968311834168
"X112",1026.35802759774,12.1960851579603,17.8039148420397,2242.21597330316,0.128371034108651,0.0871985676922974
"X117",1618.97506289186,6.49344516470333,23.5065548352967,3816.42925281028,0.101541491416684,0.0966608681163611
"X156",2615.99181596732,19.2668113726459,10.7331886273541,3904.02589583333,0.00318355367538196,0.225505533966482
"X118",1515.34464869278,12.9582466774071,17.0417533225929,3631.20275,0.0187140331237953,0.162070578448385
"X114",3298.32147515818,9.52487273565733,20.4751272643427,4481.66560517164,0.000148408486864097,0.324161994461186
"X123",3,0,6,0,NA,NA
"X121",468.912485698307,11.3402175985964,18.6597824014036,1465.97843819665,0.0640343125338457,0.114982867867676
"X159",1797.77802083238,11.2156806207407,18.7843193792593,3828.47768330078,0.0516864397943157,0.123369173168566
"X124",254.664254096423,10.1574174361114,19.8425825638886,1262.16295833333,0.27130161090072,0.0563300940141988
"X126",1913.14373574496,14.8086446048034,15.1913553951966,2854.90415914629,0.00771950676679935,0.194408099347017
"X81",1397.08369105345,6.54670263334403,23.453297366656,2411.55416704382,0.000815705769105554,0.270987753934724
"X161",3,0,6,0,NA,NA
"X129",564.58183181897,11.404688668231,18.595311331769,1202.96547780974,0.0286452557151504,0.146065490834615
"X165",1206.20278818953,17.2565586210197,12.7434413789803,2573.20788327824,0.23807932072906,0.0617928440497313
