"","amp","phase","peakTime","offset","pvalue","R2"
"X130",3,0,6,0,NA,NA
"X131",3,0,6,0,NA,NA
"X132",3,0,6,0,NA,NA
"X167",1258.23571337571,13.7860549016396,16.2139450983604,1908.51943781287,7.94296312407961e-05,0.342679764674863
"X133",2065.7994019981,11.617764043056,18.382235956944,6373.50606303936,0.0693179812931989,0.111858752420802
"X169",3181.37285575593,11.2445163535049,18.7554836464951,5419.36951201391,0.00904548692117831,0.188712558387667
"X193",2145.26348167322,8.58930797669254,21.4106920233075,4220.26183333331,0.00184590484749812,0.244041087530655
"X84",586.725875427147,8.73118544082938,21.2688145591706,2134.73587700324,0.422325052702605,0.0375856674964619
"X83",3195.7252683886,9.4812349173252,20.5187650826748,3945.96541490551,0.000342316403317376,0.29858578213451
"X134",959.630058411544,14.598739034505,15.401260965495,2780.84093749883,0.380128416002507,0.0420778023538567
"X136",1829.48676046683,12.7437123195147,17.2562876804853,1766.51798549674,0.000889491476343495,0.268176583309963
"X174",853.566486497121,10.7091103994521,19.2908896005479,1570.19883295795,0.0177910055047407,0.163952152508843
"X176",2383.32837044465,14.7073233240494,15.2926766759506,2484.46682368793,0.00971016726928161,0.186151796059221
"X138",554.148696643383,11.6290893810044,18.3709106189956,999.177341392294,0.0362331202718606,0.137100425343424
"X177",602.562423628366,11.6986686107728,18.3013313892272,899.309334372536,0.000884009349830775,0.26837763751342
"X179",234.219224073839,11.2046138682471,18.7953861317529,1541.12658333333,0.546469468150797,0.0264993130151042
"X184",3668.48466479062,12.9759634237255,17.0240365762745,4823.46074450786,0.00345628249318409,0.222671027923104
"X183",1285.163224839,10.5182324122185,19.4817675877815,1636.89071168893,1.69048172218822e-05,0.386362945159806
"X180",1654.55746837619,11.1716723278342,18.8283276721658,2186.05058598234,1.39107982222592e-05,0.391656348762959
"X186",1913.89845917522,9.3737072248928,20.6262927751072,3784.30549370638,0.00710211932671366,0.197387107176042
"X140",1781.2469839008,12.7956674310218,17.2043325689782,12854.4265879978,0.73264790757299,0.0137310806232167
